,mean_impulsivity,upps_impulsivity_survey.lack_of_perseverance,upps_impulsivity_survey.lack_of_premeditation,upps_impulsivity_survey.negative_urgency,upps_impulsivity_survey.positive_urgency,upps_impulsivity_survey.sensation_seeking,Sex,Age,EverArrested
s188,1.83743601635787,1.1,1.2727272726999999,1.9166666666999999,1.0714285714,2.75,0,31,False
s189,2.80287414345633,2.5,2.2727272727,2.25,2.1428571429,2.25,1,29,False
s190,1.8382129645148524,1.4,1.0,1.75,1.5714285713999998,2.25,0,29,False
s193,1.9348423974481774,1.2,1.6363636363999998,1.4166666666999999,1.0714285714,2.6666666667000003,1,30,False
s195,3.3043854395493275,3.0,2.9090909091,3.0,2.7142857143,3.6666666667,0,44,True
s198,2.4841433369022097,2.1,2.1818181818,2.0,1.9285714286,3.0,1,27,False
s199,3.374387879005296,2.4,2.7272727273000004,3.1666666667000003,2.8571428571,4.0,0,23,True
s201,1.7945097448517693,1.4,1.1818181818,1.25,1.0714285714,2.8333333332999997,1,48,False
s202,2.06858645554105,1.1,2.5454545455,1.25,1.0714285714,3.75,0,26,False
s203,2.0514382298197344,1.9,1.3636363636000002,1.6666666666999999,1.5714285713999998,2.1666666667,1,50,False
s205,2.1592415576678228,2.0,2.0,2.0,2.0,1.9166666666999999,0,33,False
s207,1.583859509118832,1.0,1.0,1.25,1.0,1.0,1,33,False
s210,2.3679314468689814,1.2,2.0,2.8333333332999997,2.6428571429,4.0,0,33,True
s212,2.102998289328372,2.0,1.1818181818,1.5833333333,1.1428571429,2.5833333333,1,32,False
s214,2.3637516207275797,1.6,2.0909090909,1.6666666666999999,1.1428571429,3.0833333332999997,0,45,True
s215,1.9839348303857527,1.5,1.4545454544999998,1.25,1.1428571429,1.4166666666999999,0,46,False
s216,1.9976072930685156,1.2,1.0,2.3333333333,2.0,1.1666666667,1,47,False
s217,2.769293514287734,2.3,2.0909090909,2.9166666667000003,2.1428571429,2.5833333333,0,26,False
s219,2.7522538525962137,2.8,1.8181818182,2.8333333332999997,2.0714285714,2.8333333332999997,0,34,True
s220,2.3378657705921544,1.2,2.2727272727,2.0833333333,2.0714285714,2.75,1,36,False
s221,1.613035014271687,1.0,1.1818181818,1.0833333333,1.0,1.9166666666999999,1,29,False
s222,2.469973204822236,2.4,1.8181818182,2.4166666667,1.8571428571000002,1.6666666666999999,1,32,False
s223,1.7306880771413082,1.2,1.1818181818,1.1666666667,1.0,3.0,0,45,False
s226,2.6666559061277844,1.2,2.2727272727,2.4166666667,1.8571428571000002,3.5833333332999997,1,30,False
s227,1.847408820858468,1.4,1.3636363636000002,1.6666666666999999,1.2142857143,2.5833333333,0,37,False
s228,2.3357044146356483,2.6,1.0,2.6666666667000003,1.9285714286,1.0,0,36,False
s230,1.967070615562275,1.0,1.4545454544999998,2.0,1.1428571429,3.5,0,46,False
s233,2.5273154912882054,2.7,1.4545454544999998,3.3333333332999997,2.9285714286,1.0,1,42,False
s234,2.8866552955319773,1.8,2.3636363636,3.0833333332999997,3.0,2.4166666667,1,29,False
s235,1.9699149649090772,1.9,1.7272727273,2.0833333333,1.8571428571000002,1.3333333333,1,29,False
s236,1.6389100141632769,1.1,1.5454545455000002,1.25,1.0,2.5833333333,1,50,False
s237,2.5172391016490563,2.0,2.1818181818,2.4166666667,2.1428571429,2.4166666667,0,31,True
s240,2.5846504926238807,1.8,2.2727272727,2.25,2.4285714286,2.4166666667,0,25,False
s241,1.8275103027743878,2.3,1.1818181818,1.5,1.1428571429,1.5,0,25,False
s243,1.7050143722573696,2.0,1.4545454544999998,1.25,1.2857142857,2.0833333333,0,24,False
